Community,Task,Field,Value
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Contract Signed,CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Contract Signed,CIP-Team,Legal
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Contract Signed,CIP-Line ID,P1083.C
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),LD Start,Assignee,1199128502925200
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),LD Start,Due On,2023-01-30
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),LD Start,Start On,2023-01-23
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),LD Start,CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),LD Start,CIP-Team,Land Dev
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),LD Start,CIP-Line ID,P1086.C
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Energize Site (Site Hot),Assignee,1199128502925200
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Energize Site (Site Hot),Due On,2023-02-03
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Energize Site (Site Hot),Start On,2023-01-31
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Energize Site (Site Hot),CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Energize Site (Site Hot),CIP-Team,Land Dev
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Model Start,Assignee,1199128502925200
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Model Start,Due On,2023-02-06
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Model Start,CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Model Start,CIP-Team,Construction
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Model Start,CIP-Line ID,P1030.C
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Open for Sale,Assignee,1202584680648809
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Open for Sale,Due On,2023-02-13
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Open for Sale,CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Open for Sale,CIP-Team,Sales
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Open for Sale,CIP-Line ID,P1029.C
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Start Production,Assignee,1199128502925200
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Start Production,Due On,2023-02-27
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Start Production,CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Start Production,CIP-Team,Construction
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),Start Production,CIP-Line ID,P1032.C
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),1st Production Foundation Start,Assignee,1202453112366854
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),1st Production Foundation Start,Due On,2023-03-06
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),1st Production Foundation Start,CIP-Milestone,*
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),1st Production Foundation Start,CIP-Team,Operations
C26254 - Ivy Trail 50s (NOT IN LAST PLAN) (26254),1st Production Foundation Start,CIP-Line ID,P1103.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),ID Property,Assignee,1202483398164627
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),ID Property,Due On,2022-11-09
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),ID Property,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),ID Property,CIP-Team,"Architecture, Land Acq"
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),ID Property,CIP-Line ID,P1000.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Submit for Model Permit,Assignee,1199128502925200
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Submit for Model Permit,Due On,2022-12-26
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Submit for Model Permit,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Submit for Model Permit,CIP-Team,Construction
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Submit for Model Permit,CIP-Line ID,P1066.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Plan Approval,Assignee,1202453112366854
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Plan Approval,Due On,2023-01-02
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Plan Approval,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Plan Approval,CIP-Team,Architecture
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Plan Approval,CIP-Line ID,P1010.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Begin Bid Process,Assignee,1202584680648809
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Begin Bid Process,Due On,2023-01-09
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Begin Bid Process,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Begin Bid Process,CIP-Team,Purchasing
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Begin Bid Process,CIP-Line ID,P1011.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Contract Signed,Assignee,1202483398164627
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Contract Signed,Due On,2023-01-16
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Contract Signed,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Contract Signed,CIP-Team,Legal
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Contract Signed,CIP-Line ID,P1083.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),LD Start,Assignee,1199128502925200
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),LD Start,Due On,2023-01-30
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),LD Start,Start On,2023-01-23
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),LD Start,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),LD Start,CIP-Team,Land Dev
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),LD Start,CIP-Line ID,P1086.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Energize Site (Site Hot),Assignee,1199128502925200
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Energize Site (Site Hot),Due On,2023-02-03
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Energize Site (Site Hot),Start On,2023-01-31
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Energize Site (Site Hot),CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Energize Site (Site Hot),CIP-Team,Land Dev
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Model Start,Assignee,1199128502925200
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Model Start,Due On,2023-02-06
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Model Start,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Model Start,CIP-Team,Construction
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Model Start,CIP-Line ID,P1030.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Open for Sale,Assignee,1202584680648809
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Open for Sale,Due On,2023-02-13
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Open for Sale,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Open for Sale,CIP-Team,Sales
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Open for Sale,CIP-Line ID,P1029.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Start Production,Assignee,1199128502925200
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Start Production,Due On,2023-02-27
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Start Production,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Start Production,CIP-Team,Construction
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),Start Production,CIP-Line ID,P1032.C
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),1st Production Foundation Start,Assignee,1202453112366854
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),1st Production Foundation Start,Due On,2023-03-06
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),1st Production Foundation Start,CIP-Milestone,*
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),1st Production Foundation Start,CIP-Team,Operations
C26255 - Armen Groves (NOT IN LAST PLAN) (26255),1st Production Foundation Start,CIP-Line ID,P1103.C
C26234 - Links at Calusa Springs (26234),ID Property,Assignee,1202483398164627
C26234 - Links at Calusa Springs (26234),ID Property,Due On,2022-11-09
C26234 - Links at Calusa Springs (26234),ID Property,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),ID Property,CIP-Team,"Architecture, Land Acq"
C26234 - Links at Calusa Springs (26234),ID Property,CIP-Line ID,P1000.C
C26234 - Links at Calusa Springs (26234),Submit for Model Permit,Assignee,1199128502925200
C26234 - Links at Calusa Springs (26234),Submit for Model Permit,Due On,2022-12-26
C26234 - Links at Calusa Springs (26234),Submit for Model Permit,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Submit for Model Permit,CIP-Team,Construction
C26234 - Links at Calusa Springs (26234),Submit for Model Permit,CIP-Line ID,P1066.C
C26234 - Links at Calusa Springs (26234),Plan Approval,Assignee,1202453112366854
C26234 - Links at Calusa Springs (26234),Plan Approval,Due On,2023-01-02
C26234 - Links at Calusa Springs (26234),Plan Approval,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Plan Approval,CIP-Team,Architecture
C26234 - Links at Calusa Springs (26234),Plan Approval,CIP-Line ID,P1010.C
C26234 - Links at Calusa Springs (26234),Begin Bid Process,Assignee,1202584680648809
C26234 - Links at Calusa Springs (26234),Begin Bid Process,Due On,2023-01-09
C26234 - Links at Calusa Springs (26234),Begin Bid Process,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Begin Bid Process,CIP-Team,Purchasing
C26234 - Links at Calusa Springs (26234),Begin Bid Process,CIP-Line ID,P1011.C
C26234 - Links at Calusa Springs (26234),Contract Signed,Assignee,1202483398164627
C26234 - Links at Calusa Springs (26234),Contract Signed,Due On,2023-01-16
C26234 - Links at Calusa Springs (26234),Contract Signed,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Contract Signed,CIP-Team,Legal
C26234 - Links at Calusa Springs (26234),Contract Signed,CIP-Line ID,P1083.C
C26234 - Links at Calusa Springs (26234),LD Start,Assignee,1199128502925200
C26234 - Links at Calusa Springs (26234),LD Start,Due On,2023-01-30
C26234 - Links at Calusa Springs (26234),LD Start,Start On,2023-01-23
C26234 - Links at Calusa Springs (26234),LD Start,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),LD Start,CIP-Team,Land Dev
C26234 - Links at Calusa Springs (26234),LD Start,CIP-Line ID,P1086.C
C26234 - Links at Calusa Springs (26234),Energize Site (Site Hot),Assignee,1199128502925200
C26234 - Links at Calusa Springs (26234),Energize Site (Site Hot),Due On,2023-02-03
C26234 - Links at Calusa Springs (26234),Energize Site (Site Hot),Start On,2023-01-31
C26234 - Links at Calusa Springs (26234),Energize Site (Site Hot),CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Energize Site (Site Hot),CIP-Team,Land Dev
C26234 - Links at Calusa Springs (26234),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26234 - Links at Calusa Springs (26234),Model Start,Assignee,1199128502925200
C26234 - Links at Calusa Springs (26234),Model Start,Due On,2023-02-06
C26234 - Links at Calusa Springs (26234),Model Start,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Model Start,CIP-Team,Construction
C26234 - Links at Calusa Springs (26234),Model Start,CIP-Line ID,P1030.C
C26234 - Links at Calusa Springs (26234),Open for Sale,Assignee,1202584680648809
C26234 - Links at Calusa Springs (26234),Open for Sale,Due On,2023-02-13
C26234 - Links at Calusa Springs (26234),Open for Sale,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Open for Sale,CIP-Team,Sales
C26234 - Links at Calusa Springs (26234),Open for Sale,CIP-Line ID,P1029.C
C26234 - Links at Calusa Springs (26234),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26234 - Links at Calusa Springs (26234),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26234 - Links at Calusa Springs (26234),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26234 - Links at Calusa Springs (26234),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26234 - Links at Calusa Springs (26234),Start Production,Assignee,1199128502925200
C26234 - Links at Calusa Springs (26234),Start Production,Due On,2023-02-27
C26234 - Links at Calusa Springs (26234),Start Production,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),Start Production,CIP-Team,Construction
C26234 - Links at Calusa Springs (26234),Start Production,CIP-Line ID,P1032.C
C26234 - Links at Calusa Springs (26234),1st Production Foundation Start,Assignee,1202453112366854
C26234 - Links at Calusa Springs (26234),1st Production Foundation Start,Due On,2023-03-06
C26234 - Links at Calusa Springs (26234),1st Production Foundation Start,CIP-Milestone,*
C26234 - Links at Calusa Springs (26234),1st Production Foundation Start,CIP-Team,Operations
C26234 - Links at Calusa Springs (26234),1st Production Foundation Start,CIP-Line ID,P1103.C
C26224 - San Sebastian (26224),ID Property,Assignee,1202483398164627
C26224 - San Sebastian (26224),ID Property,Due On,2022-11-09
C26224 - San Sebastian (26224),ID Property,CIP-Milestone,*
C26224 - San Sebastian (26224),ID Property,CIP-Team,"Architecture, Land Acq"
C26224 - San Sebastian (26224),ID Property,CIP-Line ID,P1000.C
C26224 - San Sebastian (26224),Submit for Model Permit,Assignee,1199128502925200
C26224 - San Sebastian (26224),Submit for Model Permit,Due On,2022-12-26
C26224 - San Sebastian (26224),Submit for Model Permit,CIP-Milestone,*
C26224 - San Sebastian (26224),Submit for Model Permit,CIP-Team,Construction
C26224 - San Sebastian (26224),Submit for Model Permit,CIP-Line ID,P1066.C
C26224 - San Sebastian (26224),Plan Approval,Assignee,1202453112366854
C26224 - San Sebastian (26224),Plan Approval,Due On,2023-01-02
C26224 - San Sebastian (26224),Plan Approval,CIP-Milestone,*
C26224 - San Sebastian (26224),Plan Approval,CIP-Team,Architecture
C26224 - San Sebastian (26224),Plan Approval,CIP-Line ID,P1010.C
C26224 - San Sebastian (26224),Begin Bid Process,Assignee,1202584680648809
C26224 - San Sebastian (26224),Begin Bid Process,Due On,2023-01-09
C26224 - San Sebastian (26224),Begin Bid Process,CIP-Milestone,*
C26224 - San Sebastian (26224),Begin Bid Process,CIP-Team,Purchasing
C26224 - San Sebastian (26224),Begin Bid Process,CIP-Line ID,P1011.C
C26224 - San Sebastian (26224),Contract Signed,Assignee,1202483398164627
C26224 - San Sebastian (26224),Contract Signed,Due On,2023-01-16
C26224 - San Sebastian (26224),Contract Signed,CIP-Milestone,*
C26224 - San Sebastian (26224),Contract Signed,CIP-Team,Legal
C26224 - San Sebastian (26224),Contract Signed,CIP-Line ID,P1083.C
C26224 - San Sebastian (26224),LD Start,Assignee,1199128502925200
C26224 - San Sebastian (26224),LD Start,Due On,2023-01-30
C26224 - San Sebastian (26224),LD Start,Start On,2023-01-23
C26224 - San Sebastian (26224),LD Start,CIP-Milestone,*
C26224 - San Sebastian (26224),LD Start,CIP-Team,Land Dev
C26224 - San Sebastian (26224),LD Start,CIP-Line ID,P1086.C
C26224 - San Sebastian (26224),Energize Site (Site Hot),Assignee,1199128502925200
C26224 - San Sebastian (26224),Energize Site (Site Hot),Due On,2023-02-03
C26224 - San Sebastian (26224),Energize Site (Site Hot),Start On,2023-01-31
C26224 - San Sebastian (26224),Energize Site (Site Hot),CIP-Milestone,*
C26224 - San Sebastian (26224),Energize Site (Site Hot),CIP-Team,Land Dev
C26224 - San Sebastian (26224),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26224 - San Sebastian (26224),Model Start,Assignee,1199128502925200
C26224 - San Sebastian (26224),Model Start,Due On,2023-02-06
C26224 - San Sebastian (26224),Model Start,CIP-Milestone,*
C26224 - San Sebastian (26224),Model Start,CIP-Team,Construction
C26224 - San Sebastian (26224),Model Start,CIP-Line ID,P1030.C
C26224 - San Sebastian (26224),Open for Sale,Assignee,1202584680648809
C26224 - San Sebastian (26224),Open for Sale,Due On,2023-02-13
C26224 - San Sebastian (26224),Open for Sale,CIP-Milestone,*
C26224 - San Sebastian (26224),Open for Sale,CIP-Team,Sales
C26224 - San Sebastian (26224),Open for Sale,CIP-Line ID,P1029.C
C26224 - San Sebastian (26224),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C26224 - San Sebastian (26224),First Lot Takedown/Open Escrow,Due On,2023-02-20
C26224 - San Sebastian (26224),First Lot Takedown/Open Escrow,CIP-Milestone,*
C26224 - San Sebastian (26224),First Lot Takedown/Open Escrow,CIP-Team,Legal
C26224 - San Sebastian (26224),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C26224 - San Sebastian (26224),Start Production,Assignee,1199128502925200
C26224 - San Sebastian (26224),Start Production,Due On,2023-02-27
C26224 - San Sebastian (26224),Start Production,CIP-Milestone,*
C26224 - San Sebastian (26224),Start Production,CIP-Team,Construction
C26224 - San Sebastian (26224),Start Production,CIP-Line ID,P1032.C
C26224 - San Sebastian (26224),1st Production Foundation Start,Assignee,1202453112366854
C26224 - San Sebastian (26224),1st Production Foundation Start,Due On,2023-03-06
C26224 - San Sebastian (26224),1st Production Foundation Start,CIP-Milestone,*
C26224 - San Sebastian (26224),1st Production Foundation Start,CIP-Team,Operations
C26224 - San Sebastian (26224),1st Production Foundation Start,CIP-Line ID,P1103.C
C25220 - La Terre at Avenir (25220),ID Property,Assignee,1202483398164627
C25220 - La Terre at Avenir (25220),ID Property,Due On,2022-11-09
C25220 - La Terre at Avenir (25220),ID Property,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),ID Property,CIP-Team,"Architecture, Land Acq"
C25220 - La Terre at Avenir (25220),ID Property,CIP-Line ID,P1000.C
C25220 - La Terre at Avenir (25220),Submit for Model Permit,Assignee,1199128502925200
C25220 - La Terre at Avenir (25220),Submit for Model Permit,Due On,2022-12-26
C25220 - La Terre at Avenir (25220),Submit for Model Permit,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Submit for Model Permit,CIP-Team,Construction
C25220 - La Terre at Avenir (25220),Submit for Model Permit,CIP-Line ID,P1066.C
C25220 - La Terre at Avenir (25220),Plan Approval,Assignee,1202453112366854
C25220 - La Terre at Avenir (25220),Plan Approval,Due On,2023-01-02
C25220 - La Terre at Avenir (25220),Plan Approval,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Plan Approval,CIP-Team,Architecture
C25220 - La Terre at Avenir (25220),Plan Approval,CIP-Line ID,P1010.C
C25220 - La Terre at Avenir (25220),Begin Bid Process,Assignee,1202584680648809
C25220 - La Terre at Avenir (25220),Begin Bid Process,Due On,2023-01-09
C25220 - La Terre at Avenir (25220),Begin Bid Process,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Begin Bid Process,CIP-Team,Purchasing
C25220 - La Terre at Avenir (25220),Begin Bid Process,CIP-Line ID,P1011.C
C25220 - La Terre at Avenir (25220),Contract Signed,Assignee,1202483398164627
C25220 - La Terre at Avenir (25220),Contract Signed,Due On,2023-01-16
C25220 - La Terre at Avenir (25220),Contract Signed,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Contract Signed,CIP-Team,Legal
C25220 - La Terre at Avenir (25220),Contract Signed,CIP-Line ID,P1083.C
C25220 - La Terre at Avenir (25220),LD Start,Assignee,1199128502925200
C25220 - La Terre at Avenir (25220),LD Start,Due On,2023-01-30
C25220 - La Terre at Avenir (25220),LD Start,Start On,2023-01-23
C25220 - La Terre at Avenir (25220),LD Start,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),LD Start,CIP-Team,Land Dev
C25220 - La Terre at Avenir (25220),LD Start,CIP-Line ID,P1086.C
C25220 - La Terre at Avenir (25220),Energize Site (Site Hot),Assignee,1199128502925200
C25220 - La Terre at Avenir (25220),Energize Site (Site Hot),Due On,2023-02-03
C25220 - La Terre at Avenir (25220),Energize Site (Site Hot),Start On,2023-01-31
C25220 - La Terre at Avenir (25220),Energize Site (Site Hot),CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Energize Site (Site Hot),CIP-Team,Land Dev
C25220 - La Terre at Avenir (25220),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25220 - La Terre at Avenir (25220),Model Start,Assignee,1199128502925200
C25220 - La Terre at Avenir (25220),Model Start,Due On,2023-02-06
C25220 - La Terre at Avenir (25220),Model Start,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Model Start,CIP-Team,Construction
C25220 - La Terre at Avenir (25220),Model Start,CIP-Line ID,P1030.C
C25220 - La Terre at Avenir (25220),Open for Sale,Assignee,1202584680648809
C25220 - La Terre at Avenir (25220),Open for Sale,Due On,2023-02-13
C25220 - La Terre at Avenir (25220),Open for Sale,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Open for Sale,CIP-Team,Sales
C25220 - La Terre at Avenir (25220),Open for Sale,CIP-Line ID,P1029.C
C25220 - La Terre at Avenir (25220),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25220 - La Terre at Avenir (25220),First Lot Takedown/Open Escrow,Due On,2023-02-20
C25220 - La Terre at Avenir (25220),First Lot Takedown/Open Escrow,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),First Lot Takedown/Open Escrow,CIP-Team,Legal
C25220 - La Terre at Avenir (25220),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C25220 - La Terre at Avenir (25220),Start Production,Assignee,1199128502925200
C25220 - La Terre at Avenir (25220),Start Production,Due On,2023-02-27
C25220 - La Terre at Avenir (25220),Start Production,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),Start Production,CIP-Team,Construction
C25220 - La Terre at Avenir (25220),Start Production,CIP-Line ID,P1032.C
C25220 - La Terre at Avenir (25220),1st Production Foundation Start,Assignee,1202453112366854
C25220 - La Terre at Avenir (25220),1st Production Foundation Start,Due On,2023-03-06
C25220 - La Terre at Avenir (25220),1st Production Foundation Start,CIP-Milestone,*
C25220 - La Terre at Avenir (25220),1st Production Foundation Start,CIP-Team,Operations
C25220 - La Terre at Avenir (25220),1st Production Foundation Start,CIP-Line ID,P1103.C
C25221 - Aspire at Waterstone (25221),ID Property,Assignee,1202483398164627
C25221 - Aspire at Waterstone (25221),ID Property,Due On,2022-11-09
C25221 - Aspire at Waterstone (25221),ID Property,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),ID Property,CIP-Team,"Architecture, Land Acq"
C25221 - Aspire at Waterstone (25221),ID Property,CIP-Line ID,P1000.C
C25221 - Aspire at Waterstone (25221),Submit for Model Permit,Assignee,1199128502925200
C25221 - Aspire at Waterstone (25221),Submit for Model Permit,Due On,2022-12-26
C25221 - Aspire at Waterstone (25221),Submit for Model Permit,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Submit for Model Permit,CIP-Team,Construction
C25221 - Aspire at Waterstone (25221),Submit for Model Permit,CIP-Line ID,P1066.C
C25221 - Aspire at Waterstone (25221),Plan Approval,Assignee,1202453112366854
C25221 - Aspire at Waterstone (25221),Plan Approval,Due On,2023-01-02
C25221 - Aspire at Waterstone (25221),Plan Approval,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Plan Approval,CIP-Team,Architecture
C25221 - Aspire at Waterstone (25221),Plan Approval,CIP-Line ID,P1010.C
C25221 - Aspire at Waterstone (25221),Begin Bid Process,Assignee,1202584680648809
C25221 - Aspire at Waterstone (25221),Begin Bid Process,Due On,2023-01-09
C25221 - Aspire at Waterstone (25221),Begin Bid Process,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Begin Bid Process,CIP-Team,Purchasing
C25221 - Aspire at Waterstone (25221),Begin Bid Process,CIP-Line ID,P1011.C
C25221 - Aspire at Waterstone (25221),Contract Signed,Assignee,1202483398164627
C25221 - Aspire at Waterstone (25221),Contract Signed,Due On,2023-01-16
C25221 - Aspire at Waterstone (25221),Contract Signed,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Contract Signed,CIP-Team,Legal
C25221 - Aspire at Waterstone (25221),Contract Signed,CIP-Line ID,P1083.C
C25221 - Aspire at Waterstone (25221),LD Start,Assignee,1199128502925200
C25221 - Aspire at Waterstone (25221),LD Start,Due On,2023-01-30
C25221 - Aspire at Waterstone (25221),LD Start,Start On,2023-01-23
C25221 - Aspire at Waterstone (25221),LD Start,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),LD Start,CIP-Team,Land Dev
C25221 - Aspire at Waterstone (25221),LD Start,CIP-Line ID,P1086.C
C25221 - Aspire at Waterstone (25221),Energize Site (Site Hot),Assignee,1199128502925200
C25221 - Aspire at Waterstone (25221),Energize Site (Site Hot),Due On,2023-02-03
C25221 - Aspire at Waterstone (25221),Energize Site (Site Hot),Start On,2023-01-31
C25221 - Aspire at Waterstone (25221),Energize Site (Site Hot),CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Energize Site (Site Hot),CIP-Team,Land Dev
C25221 - Aspire at Waterstone (25221),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25221 - Aspire at Waterstone (25221),Model Start,Assignee,1199128502925200
C25221 - Aspire at Waterstone (25221),Model Start,Due On,2023-02-06
C25221 - Aspire at Waterstone (25221),Model Start,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Model Start,CIP-Team,Construction
C25221 - Aspire at Waterstone (25221),Model Start,CIP-Line ID,P1030.C
C25221 - Aspire at Waterstone (25221),Open for Sale,Assignee,1202584680648809
C25221 - Aspire at Waterstone (25221),Open for Sale,Due On,2023-02-13
